lectin_id,lectin_name,lectin_origin,lectin_species,lectin_uniprot,lectin_pdb,glycan_id,glycan_iupac,glycan_glytoucan_id,glycan_monosac_composition,binding_value,binding_unit,binding_source,binding_confidence,binding_source_metadata_json
472,Pertussis toxin subunit 4 (PTX S4) (Islet-activating protein S4) (IAP S4),Bacterial lectins,Bordetella pertussis,P0A3R5,1BCP,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1BCP"", ""resolution"": ""2.7""}"
473,Seed lectin subunit I (SL) [Cleaved into: Seed lectin subunit II],Plant lectins,Dolichos biflorus (Vigna unguiculata),P05045,1BJQ,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1BJQ"", ""resolution"": ""2.65""}"
474,Galectin-7 (Gal-7) (HKL-14) (PI7) (p53-induced gene 1 protein),Animal lectins,Homo sapiens,P47929,1BKZ,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1BKZ"", ""resolution"": ""1.9""}"
476,Lectin [Cleaved into: Lectin beta chain; Lectin alpha chain],Plant lectins,Pisum sativum,P02867,1BQP,,Man,G70323CJ,Man:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1BQP"", ""resolution"": ""2.1""}"
477,Mannose-binding protein A (MBP-A) (Mannan-binding protein),Animal lectins,Rattus norvegicus,P19999,1BUU,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1BUU"", ""resolution"": ""1.9""}"
478,Mannose-binding protein C (MBP-C) (Mannan-binding protein) (Ra-reactive factor polysaccharide-binding component p28A) (RaRF p28A),Animal lectins,Rattus norvegicus,P08661,1BV4,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1BV4"", ""resolution"": ""1.85""}"
479,I lectin (Fragment),Plant lectins,Allium sativum,Q38789,1BWU,,Man,G70323CJ,Man:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1BWU"", ""resolution"": ""2.8""}"
480,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1BXH,,Man(a1-2)Man,G29313LW,Man:2,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1BXH"", ""resolution"": ""2.75""}"
481,Lectin,Animal lectins,Polyandrocarpa misakiensis,P16108,1BYF,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1BYF"", ""resolution"": ""2.0""}"
482,Galactose-binding lectin (Agglutinin) (PNA),Plant lectins,Arachis hypogaea,P02872,1BZW,,Gal(b1-4)Glc,G74621DY,"Gal:1,Glc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1BZW"", ""resolution"": ""2.7""}"
483,Congerin-1 (Beta-galactoside-binding lectin 1) (Congerin I),Animal lectins,Conger myriaster,P26788,1C1F,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1C1F"", ""resolution"": ""1.6""}"
484,Congerin-1 (Beta-galactoside-binding lectin 1) (Congerin I),Animal lectins,Conger myriaster,P26788,1C1L,,Gal(b1-4)Glc,G74621DY,"Gal:1,Glc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1C1L"", ""resolution"": ""1.5""}"
485,Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46),Animal lectins,Bos taurus,P11456,1C39,,Man(a1-3)Man(a1-3)Man,G57306WK,Man:3,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1C39"", ""resolution"": ""1.85""}"
486,Lectin 1,Plant lectins,Helianthus tuberosus,Q9ZQY5,1C3K,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1C3K"", ""resolution"": ""2.0""}"
487,Lectin 1,Plant lectins,Helianthus tuberosus,Q9ZQY5,1C3M,,Man(a1-3)Man,G07490EK,Man:2,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1C3M"", ""resolution"": ""2.0""}"
488,Lectin 1,Plant lectins,Helianthus tuberosus,Q9ZQY5,1C3N,,Man(a1-2)Man,G29313LW,Man:2,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1C3N"", ""resolution"": ""2.45""}"
489,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1C57,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1C57"", ""resolution"": ""2.4""}"
490,Beta-galactoside-specific lectin 4 (Beta-galactoside-specific lectin IV) [Cleaved into: Beta-galactoside-specific lectin 4 chain A (EC 3.2.2.22) (Beta-galactoside-specific lectin IV chain A) (ML-4 A) (ML-IV A) (rRNA N-glycosidase); Beta-galactoside-specific lectin 4 chain B (Beta-galactoside-specific lectin IV chain B) (ML-4B) (ML-IV B)],Plant lectins,Viscum album,Q6ITZ3,1CE7,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CE7"", ""resolution"": ""2.7""}"
491,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1CES,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CES"", ""resolution"": ""2.7""}"
493,Cholera enterotoxin subunit B (Cholera enterotoxin B chain) (Cholera enterotoxin gamma chain) (Choleragenoid),Bacterial lectins,Vibrio cholerae,P01556,1CHP,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CHP"", ""resolution"": ""2.0""}"
494,Cholera enterotoxin subunit B (Cholera enterotoxin B chain) (Cholera enterotoxin gamma chain) (Choleragenoid),Bacterial lectins,Vibrio cholerae,P01556,1CHQ,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CHQ"", ""resolution"": ""2.1""}"
495,Galactose-binding lectin (Agglutinin) (PNA),Plant lectins,Arachis hypogaea,P02872,1CIW,,Gal(b1-4)GlcNAc,G51331BY,"Gal:1,Glc:1,GlcNAc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CIW"", ""resolution"": ""2.7""}"
496,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1CJP,,Glc,G15021LG,Glc:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CJP"", ""resolution"": ""2.78""}"
497,"Tail spike protein (TSP) (Endo-1,3-alpha-L-rhamnosidase) (EC 3.2.1.-) (Endorhamnosidase) (Gene product 9) (gp9)",Virus lectins,Phage P22,P12528,1CLW,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CLW"", ""resolution"": ""2.0""}"
498,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1CN1,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CN1"", ""resolution"": ""3.2""}"
499,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1CON,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CON"", ""resolution"": ""2.0""}"
500,Galactose-binding lectin (Agglutinin) (PNA),Plant lectins,Arachis hypogaea,P02872,1CQ9,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CQ9"", ""resolution"": ""3.5""}"
501,Galactose-binding lectin (Agglutinin) (PNA),Plant lectins,Arachis hypogaea,P02872,1CR7,,Gal(b1-4)Glc,G74621DY,"Gal:1,Glc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CR7"", ""resolution"": ""2.6""}"
502,C-reactive protein [Cleaved into: C-reactive protein(1-205)],Animal lectins,Homo sapiens,P02741,1CRV,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CRV"", ""resolution"": ""0.0""}"
503,Cholera enterotoxin subunit B (Cholera enterotoxin B chain) (Cholera enterotoxin gamma chain) (Choleragenoid),Bacterial lectins,Vibrio cholerae,P01556,1CT1,,Gal(b1-3)GalNAc(b1-4)[NeuAc(a2-3)]Gal(b1-4)Glc,G46613JI,"Gal:3,GalNAc:1,Glc:1,Neu:1,NeuAc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CT1"", ""resolution"": ""2.3""}"
504,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1CVN,,Man(a1-3)[Man(a1-6)]Man,G24260RG,Man:3,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1CVN"", ""resolution"": ""2.3""}"
505,Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)],Bacterial lectins,Clostridium tetani,P04958,1D0H,,GalNAc,G27025MB,"Gal:1,GalNAc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1D0H"", ""resolution"": ""2.1""}"
506,Seed leukoagglutinin (Leukoagglutinating lectin MAL) (Seed leucoagglutinin),Plant lectins,Maackia amurensis,P0DKL3,1DBN,,NeuAc(a2-3)Gal(b1-4)Glc,G56516VH,"Gal:1,Glc:1,Neu:1,NeuAc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DBN"", ""resolution"": ""2.75""}"
507,Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)],Bacterial lectins,Clostridium tetani,P04958,1DFQ,,NeuAc,G81533KY,"Neu:1,NeuAc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DFQ"", ""resolution"": ""2.6""}"
508,Lectin alpha chain [Cleaved into: Lectin beta chain; Lectin gamma chain],Plant lectins,Dioclea grandiflora,P08902,1DGL,,Man(a1-3)[Man(a1-6)]Man,G24260RG,Man:3,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DGL"", ""resolution"": ""2.4""}"
509,Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)],Bacterial lectins,Clostridium tetani,P04958,1DIW,,Gal,G68158BT,Gal:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DIW"", ""resolution"": ""2.0""}"
510,"Heat-labile enterotoxin B chain (LT-B, porcine) (LTP-B)",Bacterial lectins,Escherichia coli,P32890,1DJR,,Gal,G68158BT,Gal:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DJR"", ""resolution"": ""1.3""}"
511,Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)],Bacterial lectins,Clostridium tetani,P04958,1DLL,,Gal(b1-4)Glc,G74621DY,"Gal:1,Glc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DLL"", ""resolution"": ""1.8""}"
512,Lectin SCAfet (Fragment),Plant lectins,Scilla campanulata,Q9ZP48,1DLP,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DLP"", ""resolution"": ""3.3""}"
513,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1DQ0,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DQ0"", ""resolution"": ""1.7""}"
514,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1DQ1,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DQ1"", ""resolution"": ""2.15""}"
515,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1DQ2,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DQ2"", ""resolution"": ""2.05""}"
516,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1DQ4,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DQ4"", ""resolution"": ""2.9""}"
517,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1DQ5,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DQ5"", ""resolution"": ""2.0""}"
518,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1DQ6,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DQ6"", ""resolution"": ""1.9""}"
519,Tachycitin,Animal lectins,Tachypleus tridentatus,P91818,1DQC,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DQC"", ""resolution"": ""0.0""}"
520,Macrophage mannose receptor 1 (MMR) (CD antigen CD206),Animal lectins,Mus musculus,Q61830,1DQG,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DQG"", ""resolution"": ""1.7""}"
521,Macrophage mannose receptor 1 (MMR) (CD antigen CD206),Animal lectins,Mus musculus,Q61830,1DQO,,GalNAc,G27025MB,"Gal:1,GalNAc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DQO"", ""resolution"": ""2.2""}"
522,Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (C-type lectin domain family 4 member H1) (Hepatic lectin H1) (HL-1),Animal lectins,Homo sapiens,P07306,1DV8,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DV8"", ""resolution"": ""2.3""}"
523,Lectin II (Fragment),Plant lectins,Ulex europaeus,Q9FVF8,1DZQ,,Gal,G68158BT,Gal:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1DZQ"", ""resolution"": ""2.85""}"
524,Chitinase-like protein 3 (EC 3.2.1.52) (Beta-N-acetylhexosaminidase Ym1) (Chitinase-3-like protein 3) (ECF-L) (Eosinophil chemotactic cytokine) (Secreted protein Ym1),Animal lectins,Mus musculus,O35744,1E9L,,GlcN,G80384UV,Glc:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1E9L"", ""resolution"": ""2.5""}"
525,"Heat-labile enterotoxin B chain (LT-B, porcine) (LTP-B)",Bacterial lectins,Escherichia coli,P32890,1EEF,,Gal,G68158BT,Gal:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1EEF"", ""resolution"": ""1.8""}"
526,Cholera enterotoxin B-subunit (Cholera enterotoxin binding subunit CtxB) (Cholera enterotoxin subunit B) (Cholera toxin B protein (CTB)) (Cholera toxin B subunit) (Cholera toxin beta subunit) (Cholera toxin subunit B) (Cholerae toxin B subunit) (CtxB),Bacterial lectins,Vibrio cholerae,Q57193,1EEI,,Gal,G68158BT,Gal:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1EEI"", ""resolution"": ""2.0""}"
527,"Heat-labile enterotoxin B chain (LT-B, porcine) (LTP-B)",Bacterial lectins,Escherichia coli,P32890,1EFI,,Gal,G68158BT,Gal:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1EFI"", ""resolution"": ""1.6""}"
528,Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206),Animal lectins,Homo sapiens,P22897,1EGG,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1EGG"", ""resolution"": ""2.3""}"
529,Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206),Animal lectins,Homo sapiens,P22897,1EGI,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1EGI"", ""resolution"": ""2.3""}"
530,Agglutinin isolectin V (Fragment),Plant lectins,Urtica dioica,Q9S7B3,1EHD,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1EHD"", ""resolution"": ""1.5""}"
531,Agglutinin isolectin V (Fragment),Plant lectins,Urtica dioica,Q9S7B3,1EHH,,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc,G81262CB,"Glc:3,GlcNAc:3",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1EHH"", ""resolution"": ""1.9""}"
532,Agglutinin isolectin VI (Fragment),Plant lectins,Urtica dioica,Q9SYR5,1EIS,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1EIS"", ""resolution"": ""1.66""}"
533,Lectin/endochitinase 1 (EC 3.2.1.14) (Agglutinin) (UDA) (chia5.1.1) [Cleaved into: Lectin 1],Plant lectins,Urtica dioica,P11218,1EN2,,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc,G98511QW,"Glc:4,GlcNAc:4",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1EN2"", ""resolution"": ""1.4""}"
534,Lectin/endochitinase 1 (EC 3.2.1.14) (Agglutinin) (UDA) (chia5.1.1) [Cleaved into: Lectin 1],Plant lectins,Urtica dioica,P11218,1ENM,,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc,G81262CB,"Glc:3,GlcNAc:3",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1ENM"", ""resolution"": ""1.9""}"
535,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1ENQ,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1ENQ"", ""resolution"": ""2.5""}"
536,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1ENR,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1ENR"", ""resolution"": ""1.83""}"
537,Concanavalin-A (Con A),Plant lectins,Canavalia ensiformis,P02866,1ENS,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1ENS"", ""resolution"": ""2.8""}"
538,Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain],Virus lectins,Influenzae virus,P03437,1EO8,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1EO8"", ""resolution"": ""2.8""}"
539,Botulinum neurotoxin type B (BoNT/B) (Bontoxilysin-B) [Cleaved into: Botulinum neurotoxin B light chain (LC) (EC 3.4.24.69); Botulinum neurotoxin B heavy chain (HC)],Bacterial lectins,Clostridium botulinum,P10844,1EPW,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1EPW"", ""resolution"": ""1.9""}"
540,E-selectin (CD62 antigen-like family member E) (Endothelial leukocyte adhesion molecule 1) (ELAM-1) (Leukocyte-endothelial cell adhesion molecule 2) (LECAM2) (CD antigen CD62E),Animal lectins,Homo sapiens,P16581,1ESL,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1ESL"", ""resolution"": ""2.0""}"
541,Botulinum neurotoxin type B (BoNT/B) (Bontoxilysin-B) [Cleaved into: Botulinum neurotoxin B light chain (LC) (EC 3.4.24.69); Botulinum neurotoxin B heavy chain (HC)],Bacterial lectins,Clostridium botulinum,P10844,1F31,,NeuAc(a2-3)Gal(b1-4)Glc,G56516VH,"Gal:1,Glc:1,Neu:1,NeuAc:1",,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1F31"", ""resolution"": ""2.6""}"
542,Winged bean acidic lectin (Fragment),Plant lectins,Psophocarpus tetragonolobus,Q9SM56,1F9K,,Gal,G68158BT,Gal:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1F9K"", ""resolution"": ""3.0""}"
543,Leucoagglutinating phytohemagglutinin (PHA-L),Plant lectins,Phaseolus vulgaris,P05087,1FAT,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1FAT"", ""resolution"": ""2.8""}"
544,Winged bean acidic lectin (Fragment),Plant lectins,Psophocarpus tetragonolobus,Q9SM56,1FAY,,Gal,G68158BT,Gal:1,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1FAY"", ""resolution"": ""3.3""}"
545,Cholera enterotoxin subunit B (Cholera enterotoxin B chain) (Cholera enterotoxin gamma chain) (Choleragenoid),Bacterial lectins,Vibrio cholerae,P01556,1FGB,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1FGB"", ""resolution"": ""2.4""}"
547,Bark agglutinin I polypeptide A (LECRPA1) (RPbAI),Plant lectins,Robinia pseudoacacia,Q41159,1FNY,,nan,nan,,,nM,UniLectin3D,high,"{""source"": ""UniLectin3D"", ""pdb"": ""1FNY"", ""resolution"": ""1.81""}"
